epoch;training_loss;validation_loss;difference;accuracy
190;1.92070;1.93603;0.01533;0.37630
191;1.92017;1.93187;0.01170;0.37940
192;1.92014;1.93334;0.01320;0.37470
193;1.92014;1.93097;0.01083;0.37760
194;1.92021;1.93179;0.01159;0.37840
195;1.91887;1.93068;0.01180;0.38270
196;1.92022;1.93092;0.01070;0.37770
197;1.92131;1.92969;0.00839;0.37830
198;1.91986;1.93061;0.01075;0.38190
199;1.91852;1.92938;0.01086;0.37820
200;1.91963;1.92828;0.00865;0.37720
201;1.91949;1.93779;0.01830;0.37720
202;1.92311;1.92860;0.00549;0.37700
203;1.91969;1.92847;0.00878;0.37500
204;1.92031;1.93075;0.01044;0.37890
205;1.92138;1.93285;0.01146;0.37870
206;1.91935;1.93315;0.01380;0.38220
207;1.91972;1.92931;0.00959;0.38120
208;1.91974;1.93126;0.01152;0.38130
209;1.92276;1.93820;0.01544;0.37670
210;1.92093;1.93053;0.00961;0.37870
211;1.92150;1.93446;0.01296;0.37370
212;1.91941;1.93026;0.01085;0.38290
213;1.92021;1.93367;0.01345;0.37750
214;1.92157;1.93253;0.01096;0.37810
215;1.92066;1.93767;0.01701;0.37760
216;1.91891;1.93068;0.01177;0.37670
217;1.91958;1.92986;0.01028;0.37860
218;1.92095;1.93259;0.01164;0.38010
219;1.91964;1.93463;0.01499;0.37670
220;1.92075;1.93692;0.01617;0.38360
221;1.91960;1.92888;0.00928;0.37860
222;1.91958;1.93111;0.01153;0.37930
223;1.91941;1.93151;0.01210;0.38020
224;1.91913;1.92972;0.01059;0.38170
225;1.92110;1.92928;0.00818;0.37960
226;1.91954;1.93069;0.01115;0.37980
227;1.91958;1.93072;0.01114;0.38080
228;1.91954;1.93157;0.01204;0.37800
229;1.91998;1.92707;0.00709;0.37960
230;1.91912;1.93231;0.01319;0.37960
231;1.91922;1.92961;0.01039;0.38060
232;1.91961;1.93277;0.01316;0.37670
233;1.92012;1.93404;0.01391;0.37700
234;1.92133;1.92809;0.00676;0.37780
235;1.92049;1.93396;0.01346;0.37330
236;1.91923;1.93066;0.01143;0.37810
237;1.92080;1.93232;0.01153;0.37880
238;1.92071;1.93306;0.01235;0.37940
239;1.91946;1.93320;0.01373;0.38090
240;1.92000;1.92740;0.00740;0.37880
241;1.91973;1.93490;0.01517;0.37730
