step;smooth_loss;loss
32301; 51.310787;54.485684
32401; 51.276255;62.080624
32501; 51.319258;42.906213
32601; 51.197533;51.816914
32701; 51.394823;57.165221
32801; 51.476813;46.960550
32901; 51.489886;43.854078
33001; 51.467307;49.261978
33101; 51.483344;50.733761
33201; 51.580884;53.788428
33301; 51.496857;56.732946
33401; 51.438230;51.376799
33501; 51.277674;38.729320
33601; 51.169138;44.136458
33701; 50.933233;42.833754
33801; 50.762684;46.079427
33901; 50.726032;65.054365
34001; 50.753260;59.595987
34101; 50.446810;40.303258
34201; 50.408111;52.697878
34301; 50.219483;48.169668
34401; 50.204389;56.324949
34501; 50.178039;46.646900
34601; 50.153851;70.065072
34701; 50.204243;34.790467
34801; 50.305468;52.788766
34901; 50.217268;58.242499
35001; 50.519144;49.606829
35101; 50.605136;45.361058
35201; 50.502631;48.904787
35301; 50.270778;43.015144
35401; 49.992208;56.015598
35501; 50.099012;55.177250
35601; 50.374807;47.692111
35701; 50.480747;57.239438
35801; 50.630565;46.423942
35901; 50.502580;49.427989
36001; 50.710773;48.828019
36101; 50.414975;53.560961
36201; 50.467024;65.333912
36301; 50.324844;47.895829
36401; 50.327474;44.196824
36501; 50.180960;39.875281
36601; 50.245047;52.204306
36701; 50.169329;34.430802
36801; 50.246209;47.027365
36901; 50.620249;47.315455
37001; 50.925822;36.603002
37101; 50.898273;45.689680
37201; 50.792273;62.895254
37301; 50.687701;57.427362
37401; 50.706086;51.720863
37501; 50.785760;34.829920
37601; 50.656401;52.941269
37701; 50.566360;40.065887
37801; 50.617628;52.597421
37901; 50.492931;44.335965
38001; 50.632836;39.817944
38101; 50.687017;47.841657
38201; 50.647680;39.493114
38301; 50.363325;50.286902
38401; 50.294054;45.513738
38501; 50.164945;38.501733
38601; 50.002169;53.722367
38701; 50.016889;47.635810
38801; 50.017718;43.319001
38901; 50.210422;38.484762
39001; 50.286662;48.895806
39101; 50.548844;54.311250
39201; 50.743300;63.341227
39301; 50.840129;42.092289
39401; 50.882958;52.767769
39501; 50.899419;58.749849
39601; 51.114157;51.542658
39701; 50.918309;50.745689
39801; 50.898110;60.567609
39901; 50.734625;56.231938
40001; 50.500569;46.782530
40101; 50.201511;34.952055
40201; 49.986140;46.171934
40301; 49.813371;54.612537
40401; 49.831245;52.163103
40501; 49.661927;55.959915
40601; 49.576493;48.400682
40701; 49.507128;38.897538
40801; 49.505700;49.376169
40901; 49.504946;47.461749
41001; 49.464204;55.598330
41101; 49.628571;50.373313
41201; 49.649005;51.675379
41301; 49.834376;46.624063
41401; 49.983341;39.386308
41501; 49.828135;52.485092
41601; 49.983088;45.692194
41701; 49.782411;33.786758
41801; 49.899386;44.006826
41901; 49.853260;53.177857
42001; 49.631126;51.263694
42101; 49.543916;49.549385
42201; 49.350396;58.704601
42301; 49.325581;48.516174
42401; 49.457062;45.825239
42501; 49.691798;45.399509
42601; 49.686159;61.351879
42701; 49.979687;44.112018
42801; 49.974114;52.776706
