step;smooth_loss;loss
53001; 48.534254;31.300584
53101; 48.402382;45.990020
53201; 48.615459;46.421780
53301; 48.503220;50.650608
53401; 48.705326;55.417464
53501; 48.807037;49.472782
53601; 48.603070;49.073175
53701; 48.373190;41.256257
53801; 48.519220;49.431568
53901; 48.528307;49.167568
54001; 48.308681;50.107261
54101; 48.103097;67.185051
54201; 48.089620;39.473590
54301; 47.961570;46.713122
54401; 47.823115;39.869979
54501; 47.795134;43.993857
54601; 47.699946;39.416575
54701; 47.475206;39.334376
54801; 47.378003;47.894752
54901; 47.514862;56.673585
55001; 47.634827;49.882842
55101; 47.952685;44.438842
55201; 47.847110;51.386988
55301; 47.779693;51.795181
55401; 48.034033;84.967368
55501; 48.742956;44.754938
55601; 48.877556;47.276609
55701; 48.957475;44.239900
55801; 48.985974;53.630970
55901; 49.326608;54.322481
56001; 49.341883;35.719542
56101; 49.147048;52.837543
56201; 48.902681;44.494652
56301; 48.720688;46.394353
56401; 49.110244;48.126349
56501; 48.729980;41.210267
56601; 48.540913;43.993572
56701; 48.178140;34.785872
56801; 47.877852;40.415897
56901; 47.709483;39.791909
57001; 47.520083;39.370740
57101; 47.377991;54.867207
57201; 47.227102;39.649178
57301; 47.108418;45.254900
57401; 46.944585;76.440421
57501; 46.727094;27.514861
57601; 46.784761;37.331140
57701; 46.679354;53.795786
57801; 46.749273;67.522521
57901; 46.832516;51.433840
58001; 46.883899;49.850641
58101; 47.073381;44.571880
58201; 47.266485;47.603468
58301; 47.249653;39.869174
58401; 47.313457;38.755973
58501; 47.190122;34.321334
58601; 46.970000;50.683896
58701; 46.962310;47.492327
58801; 46.885149;39.740516
58901; 46.946081;53.073727
59001; 47.033247;45.036658
59101; 47.041620;53.170706
59201; 46.992270;47.886072
59301; 47.342499;48.917537
59401; 47.072662;43.864948
59501; 47.113295;49.123595
59601; 46.920921;38.376285
59701; 46.865741;53.318732
59801; 46.731570;40.071364
59901; 46.696159;54.697831
60001; 46.903817;56.533458
60101; 46.744836;40.570332
60201; 46.872558;32.291456
60301; 46.889512;54.089637
60401; 46.776925;54.854292
60501; 46.627713;45.128432
60601; 46.455723;41.039505
60701; 46.360555;37.211738
60801; 46.364406;50.189413
60901; 46.250897;45.039028
61001; 46.014379;35.465283
61101; 45.799773;41.479272
61201; 45.545566;49.001875
61301; 45.335967;49.316832
61401; 45.288447;38.233872
61501; 45.275032;60.811034
61601; 45.108534;38.226607
61701; 45.201840;46.470778
61801; 45.149660;26.985772
61901; 45.563109;35.620585
62001; 45.646885;62.618233
62101; 45.535066;56.267041
62201; 45.533712;58.624306
62301; 45.702955;54.041223
62401; 45.756306;53.890012
62501; 46.041483;37.077652
62601; 46.074461;55.549870
62701; 46.252484;43.035070
62801; 46.557553;53.800561
62901; 46.923169;56.567290
63001; 47.151901;51.807051
63101; 47.216701;43.110373
63201; 47.130132;41.174023
63301; 47.340732;45.916897
63401; 47.614526;42.162865
63501; 47.889730;50.237550
63601; 47.805395;36.971967
63701; 47.760076;51.514908
63801; 47.694842;46.232408
63901; 47.609286;41.226157
64001; 47.635392;46.197522
64101; 47.598142;48.022720
64201; 47.782471;48.457549
64301; 47.818862;56.128550
64401; 48.030864;52.343782
64501; 48.364337;39.276678
64601; 48.341572;42.104985
64701; 48.334927;31.809876
64801; 48.262279;45.284617
64901; 48.086605;29.374993
65001; 47.912969;46.025153
65101; 48.075749;58.140419
65201; 48.179796;47.191417
65301; 48.112498;52.526163
65401; 48.043170;46.385975
65501; 48.002460;44.376838
65601; 47.892191;47.895762
65701; 47.620152;44.524651
65801; 47.620608;37.019418
65901; 47.684626;43.303939
66001; 47.564254;38.909953
66101; 47.465204;64.994867
66201; 47.563124;32.743263
66301; 47.477257;47.212147
66401; 47.408020;48.950471
66501; 47.592842;44.291239
66601; 47.823116;65.244038
66701; 47.735078;35.912041
66801; 47.620502;53.466050
66901; 47.575502;54.915920
67001; 47.764621;53.277481
67101; 47.738530;60.673738
67201; 47.839714;43.703533
67301; 47.913486;48.042895
67401; 47.775387;48.671172
67501; 47.994927;47.120863
67601; 47.874657;52.793124
67701; 47.830188;51.881738
67801; 47.784169;44.752214
67901; 47.830002;51.698542
68001; 47.802359;77.961895
68101; 48.069780;67.782277
68201; 48.429520;54.987133
68301; 48.435368;39.947941
68401; 48.521605;58.291127
68501; 48.550254;49.505468
68601; 48.601434;55.254730
68701; 48.686710;48.413774
68801; 48.619643;45.367684
68901; 48.671191;52.088064
69001; 48.846873;51.088095
69101; 48.702146;38.293719
69201; 49.191200;41.021344
69301; 49.480993;46.994948
69401; 49.783223;78.424128
69501; 49.750065;44.551014
69601; 49.904886;56.616074
69701; 49.859687;52.889019
69801; 49.829812;42.583469
69901; 49.779563;54.577092
70001; 49.543924;46.715501
70101; 49.105351;47.164833
70201; 48.638690;48.022730
70301; 48.465223;38.452651
70401; 48.197110;39.668672
70501; 47.957982;40.295694
