epoch;training_loss;validation_loss;difference;accuracy
195;1.92056;1.93169;0.01114;0.37570
196;1.92056;1.93169;0.01114;0.37570
197;1.92056;1.93169;0.01114;0.37570
198;1.92056;1.93169;0.01114;0.37570
199;1.92056;1.93169;0.01114;0.37570
200;1.92056;1.93169;0.01113;0.37570
201;1.92056;1.93169;0.01113;0.37570
202;1.92056;1.93169;0.01113;0.37580
203;1.92056;1.93169;0.01113;0.37580
204;1.92056;1.93169;0.01113;0.37580
205;1.92056;1.93169;0.01113;0.37580
206;1.92056;1.93169;0.01113;0.37580
207;1.92056;1.93169;0.01113;0.37580
208;1.92056;1.93169;0.01113;0.37580
209;1.92056;1.93169;0.01113;0.37580
210;1.92056;1.93169;0.01113;0.37580
211;1.92056;1.93169;0.01113;0.37580
212;1.92056;1.93169;0.01113;0.37580
213;1.92056;1.93169;0.01113;0.37580
214;1.92056;1.93169;0.01113;0.37580
215;1.92056;1.93169;0.01113;0.37580
216;1.92056;1.93169;0.01113;0.37580
217;1.92056;1.93169;0.01113;0.37580
218;1.92056;1.93169;0.01113;0.37580
219;1.92056;1.93169;0.01113;0.37580
220;1.92056;1.93169;0.01113;0.37580
221;1.92056;1.93168;0.01113;0.37580
222;1.92056;1.93168;0.01113;0.37580
223;1.92056;1.93168;0.01113;0.37580
224;1.92056;1.93168;0.01113;0.37580
225;1.92056;1.93168;0.01113;0.37580
226;1.92056;1.93168;0.01113;0.37580
227;1.92056;1.93168;0.01113;0.37580
228;1.92056;1.93168;0.01113;0.37580
229;1.92056;1.93168;0.01113;0.37580
230;1.92056;1.93168;0.01113;0.37580
231;1.92056;1.93168;0.01113;0.37580
232;1.92056;1.93168;0.01113;0.37580
233;1.92056;1.93168;0.01113;0.37580
234;1.92056;1.93168;0.01113;0.37580
235;1.92056;1.93168;0.01113;0.37580
236;1.92056;1.93168;0.01113;0.37580
237;1.92056;1.93168;0.01113;0.37580
238;1.92056;1.93168;0.01113;0.37580
239;1.92056;1.93168;0.01113;0.37580
240;1.92056;1.93168;0.01113;0.37580
241;1.92056;1.93168;0.01113;0.37580
242;1.92056;1.93168;0.01113;0.37580
243;1.92056;1.93168;0.01113;0.37580
244;1.92056;1.93168;0.01113;0.37580
245;1.92056;1.93168;0.01113;0.37580
246;1.92056;1.93168;0.01113;0.37580
247;1.92056;1.93168;0.01113;0.37580
248;1.92056;1.93168;0.01113;0.37580
249;1.92056;1.93168;0.01113;0.37580
250;1.92056;1.93168;0.01113;0.37580
251;1.92056;1.93168;0.01113;0.37580
252;1.92056;1.93168;0.01113;0.37580
253;1.92056;1.93168;0.01112;0.37580
254;1.92056;1.93168;0.01112;0.37580
255;1.92056;1.93168;0.01112;0.37580
256;1.92056;1.93168;0.01112;0.37580
257;1.92056;1.93168;0.01112;0.37580
258;1.92056;1.93168;0.01112;0.37580
259;1.92056;1.93168;0.01112;0.37580
260;1.92056;1.93168;0.01112;0.37580
261;1.92056;1.93168;0.01112;0.37580
262;1.92056;1.93168;0.01112;0.37580
263;1.92056;1.93168;0.01112;0.37580
264;1.92056;1.93168;0.01112;0.37580
265;1.92056;1.93168;0.01112;0.37580
266;1.92056;1.93168;0.01112;0.37580
267;1.92056;1.93168;0.01112;0.37580
268;1.92056;1.93168;0.01112;0.37580
269;1.92056;1.93168;0.01112;0.37580
270;1.92056;1.93168;0.01112;0.37580
271;1.92056;1.93168;0.01112;0.37580
272;1.92056;1.93168;0.01112;0.37580
273;1.92056;1.93168;0.01112;0.37580
274;1.92056;1.93168;0.01112;0.37580
275;1.92056;1.93168;0.01112;0.37580
276;1.92056;1.93168;0.01112;0.37580
277;1.92056;1.93168;0.01112;0.37580
278;1.92056;1.93168;0.01112;0.37580
279;1.92056;1.93168;0.01112;0.37580
280;1.92056;1.93168;0.01112;0.37580
281;1.92056;1.93168;0.01112;0.37580
282;1.92056;1.93168;0.01112;0.37580
283;1.92056;1.93168;0.01112;0.37580
284;1.92056;1.93168;0.01112;0.37580
285;1.92056;1.93168;0.01112;0.37580
286;1.92056;1.93168;0.01112;0.37580
287;1.92056;1.93168;0.01112;0.37580
288;1.92056;1.93168;0.01112;0.37580
289;1.92056;1.93168;0.01112;0.37580
290;1.92056;1.93168;0.01112;0.37580
291;1.92056;1.93168;0.01112;0.37580
292;1.92056;1.93168;0.01112;0.37580
293;1.92056;1.93168;0.01112;0.37580
294;1.92056;1.93168;0.01112;0.37580
295;1.92056;1.93168;0.01112;0.37580
296;1.92056;1.93168;0.01112;0.37580
297;1.92056;1.93168;0.01112;0.37580
298;1.92056;1.93168;0.01112;0.37580
299;1.92056;1.93168;0.01112;0.37580
300;1.92056;1.93168;0.01112;0.37580
301;1.92056;1.93168;0.01112;0.37580
302;1.92056;1.93168;0.01112;0.37580
303;1.92056;1.93168;0.01112;0.37580
304;1.92056;1.93168;0.01112;0.37580
305;1.92056;1.93168;0.01112;0.37580
306;1.92056;1.93168;0.01112;0.37580
307;1.92056;1.93168;0.01112;0.37580
308;1.92056;1.93168;0.01112;0.37580
309;1.92056;1.93168;0.01112;0.37580
310;1.92056;1.93168;0.01112;0.37580
311;1.92056;1.93168;0.01112;0.37580
312;1.92056;1.93168;0.01112;0.37580
313;1.92056;1.93168;0.01112;0.37580
314;1.92056;1.93168;0.01112;0.37580
315;1.92056;1.93168;0.01112;0.37580
316;1.92056;1.93168;0.01112;0.37580
317;1.92056;1.93168;0.01112;0.37580
318;1.92056;1.93168;0.01112;0.37580
319;1.92056;1.93168;0.01112;0.37580
320;1.92056;1.93168;0.01112;0.37580
321;1.92056;1.93168;0.01112;0.37580
322;1.92056;1.93168;0.01112;0.37580
323;1.92056;1.93168;0.01112;0.37580
324;1.92056;1.93168;0.01112;0.37580
325;1.92056;1.93168;0.01112;0.37580
326;1.92056;1.93168;0.01112;0.37580
327;1.92056;1.93168;0.01112;0.37580
328;1.92056;1.93168;0.01112;0.37580
329;1.92056;1.93168;0.01112;0.37580
330;1.92056;1.93168;0.01112;0.37580
331;1.92056;1.93168;0.01112;0.37580
332;1.92056;1.93168;0.01112;0.37580
333;1.92056;1.93168;0.01112;0.37580
334;1.92056;1.93168;0.01112;0.37580
335;1.92056;1.93168;0.01112;0.37580
336;1.92056;1.93168;0.01112;0.37580
337;1.92056;1.93168;0.01112;0.37580
338;1.92056;1.93168;0.01112;0.37580
339;1.92056;1.93168;0.01112;0.37580
340;1.92056;1.93168;0.01112;0.37580
341;1.92056;1.93168;0.01112;0.37580
342;1.92056;1.93168;0.01112;0.37580
343;1.92056;1.93168;0.01112;0.37580
344;1.92056;1.93168;0.01112;0.37580
345;1.92056;1.93168;0.01112;0.37580
346;1.92056;1.93168;0.01112;0.37580
347;1.92056;1.93168;0.01112;0.37580
348;1.92056;1.93168;0.01112;0.37580
349;1.92056;1.93168;0.01112;0.37580
350;1.92056;1.93168;0.01112;0.37580
351;1.92056;1.93168;0.01112;0.37580
352;1.92056;1.93168;0.01112;0.37580
353;1.92056;1.93168;0.01112;0.37580
354;1.92056;1.93168;0.01112;0.37580
355;1.92056;1.93168;0.01112;0.37580
356;1.92056;1.93168;0.01112;0.37580
357;1.92056;1.93168;0.01112;0.37580
358;1.92056;1.93168;0.01112;0.37580
359;1.92056;1.93168;0.01112;0.37580
360;1.92056;1.93168;0.01112;0.37580
361;1.92056;1.93168;0.01112;0.37580
362;1.92056;1.93168;0.01112;0.37580
363;1.92056;1.93168;0.01112;0.37580
364;1.92056;1.93168;0.01112;0.37580
365;1.92056;1.93168;0.01112;0.37580
366;1.92056;1.93168;0.01112;0.37580
367;1.92056;1.93168;0.01112;0.37580
368;1.92056;1.93168;0.01112;0.37580
369;1.92056;1.93168;0.01112;0.37580
370;1.92056;1.93168;0.01112;0.37580
371;1.92056;1.93168;0.01112;0.37580
372;1.92056;1.93168;0.01112;0.37580
373;1.92056;1.93168;0.01112;0.37580
374;1.92056;1.93168;0.01112;0.37580
375;1.92056;1.93168;0.01112;0.37580
376;1.92056;1.93168;0.01112;0.37580
377;1.92056;1.93168;0.01112;0.37580
378;1.92056;1.93168;0.01112;0.37580
379;1.92056;1.93168;0.01112;0.37580
380;1.92056;1.93168;0.01112;0.37580
381;1.92056;1.93168;0.01112;0.37580
382;1.92056;1.93168;0.01112;0.37580
383;1.92056;1.93168;0.01112;0.37580
384;1.92056;1.93168;0.01112;0.37580
385;1.92056;1.93168;0.01112;0.37580
386;1.92056;1.93168;0.01112;0.37580
387;1.92056;1.93168;0.01112;0.37580
388;1.92056;1.93168;0.01112;0.37580
389;1.92056;1.93168;0.01112;0.37580
390;1.92056;1.93168;0.01112;0.37580
391;1.92056;1.93168;0.01112;0.37580
392;1.92056;1.93168;0.01112;0.37580
393;1.92056;1.93168;0.01112;0.37580
394;1.92056;1.93168;0.01112;0.37580
395;1.92056;1.93168;0.01112;0.37580
396;1.92056;1.93168;0.01112;0.37580
397;1.92056;1.93168;0.01112;0.37580
398;1.92056;1.93168;0.01112;0.37580
399;1.92056;1.93168;0.01112;0.37580
400;1.92056;1.93168;0.01112;0.37580
401;1.92056;1.93168;0.01112;0.37580
402;1.92056;1.93168;0.01112;0.37580
403;1.92056;1.93168;0.01112;0.37580
404;1.92056;1.93168;0.01112;0.37580
405;1.92056;1.93168;0.01112;0.37580
406;1.92056;1.93168;0.01112;0.37580
407;1.92056;1.93168;0.01112;0.37580
408;1.92056;1.93168;0.01112;0.37580
409;1.92056;1.93168;0.01112;0.37580
410;1.92056;1.93168;0.01112;0.37580
411;1.92056;1.93168;0.01112;0.37580
412;1.92056;1.93168;0.01112;0.37580
413;1.92056;1.93168;0.01112;0.37580
414;1.92056;1.93168;0.01112;0.37580
415;1.92056;1.93168;0.01112;0.37580
416;1.92056;1.93168;0.01112;0.37580
417;1.92056;1.93168;0.01112;0.37580
418;1.92056;1.93168;0.01112;0.37580
419;1.92056;1.93168;0.01112;0.37580
420;1.92056;1.93168;0.01112;0.37580
421;1.92056;1.93168;0.01112;0.37580
422;1.92056;1.93168;0.01112;0.37580
423;1.92056;1.93168;0.01112;0.37580
424;1.92056;1.93168;0.01112;0.37580
425;1.92056;1.93168;0.01112;0.37580
426;1.92056;1.93168;0.01112;0.37580
427;1.92056;1.93168;0.01112;0.37580
428;1.92056;1.93168;0.01112;0.37580
429;1.92056;1.93168;0.01112;0.37580
430;1.92056;1.93168;0.01112;0.37580
431;1.92056;1.93168;0.01112;0.37580
432;1.92056;1.93168;0.01112;0.37580
433;1.92056;1.93168;0.01112;0.37580
434;1.92056;1.93168;0.01112;0.37580
435;1.92056;1.93168;0.01112;0.37580
436;1.92056;1.93168;0.01112;0.37580
437;1.92056;1.93168;0.01112;0.37580
438;1.92056;1.93168;0.01112;0.37580
439;1.92056;1.93168;0.01112;0.37580
440;1.92056;1.93168;0.01112;0.37580
441;1.92056;1.93168;0.01112;0.37580
442;1.92056;1.93168;0.01112;0.37580
443;1.92056;1.93168;0.01112;0.37580
444;1.92056;1.93168;0.01112;0.37580
445;1.92056;1.93168;0.01112;0.37580
446;1.92056;1.93168;0.01112;0.37580
447;1.92056;1.93168;0.01112;0.37580
448;1.92056;1.93168;0.01112;0.37580
449;1.92056;1.93168;0.01112;0.37580
450;1.92056;1.93168;0.01112;0.37580
451;1.92056;1.93168;0.01112;0.37580
452;1.92056;1.93168;0.01112;0.37580
453;1.92056;1.93168;0.01112;0.37580
454;1.92056;1.93168;0.01112;0.37580
455;1.92056;1.93168;0.01112;0.37580
456;1.92056;1.93168;0.01112;0.37580
457;1.92056;1.93168;0.01112;0.37580
458;1.92056;1.93168;0.01112;0.37580
459;1.92056;1.93168;0.01112;0.37580
460;1.92056;1.93168;0.01112;0.37580
461;1.92056;1.93168;0.01112;0.37580
462;1.92056;1.93168;0.01112;0.37580
463;1.92056;1.93168;0.01112;0.37580
464;1.92056;1.93168;0.01112;0.37580
465;1.92056;1.93168;0.01112;0.37580
466;1.92056;1.93168;0.01112;0.37580
467;1.92056;1.93168;0.01112;0.37580
468;1.92056;1.93168;0.01112;0.37580
469;1.92056;1.93168;0.01112;0.37580
470;1.92056;1.93168;0.01112;0.37580
471;1.92056;1.93168;0.01112;0.37580
472;1.92056;1.93168;0.01112;0.37580
473;1.92056;1.93168;0.01112;0.37580
474;1.92056;1.93168;0.01112;0.37580
475;1.92056;1.93168;0.01112;0.37580
476;1.92056;1.93168;0.01112;0.37580
477;1.92056;1.93168;0.01112;0.37580
478;1.92056;1.93168;0.01112;0.37580
479;1.92056;1.93168;0.01112;0.37580
480;1.92056;1.93168;0.01112;0.37580
481;1.92056;1.93168;0.01112;0.37580
482;1.92056;1.93168;0.01112;0.37580
483;1.92056;1.93168;0.01112;0.37580
484;1.92056;1.93168;0.01112;0.37580
485;1.92056;1.93168;0.01112;0.37580
486;1.92056;1.93168;0.01112;0.37580
487;1.92056;1.93168;0.01112;0.37580
488;1.92056;1.93168;0.01112;0.37580
489;1.92056;1.93168;0.01112;0.37580
490;1.92056;1.93168;0.01112;0.37580
491;1.92056;1.93168;0.01112;0.37580
492;1.92056;1.93168;0.01112;0.37580
493;1.92056;1.93168;0.01112;0.37580
494;1.92056;1.93168;0.01112;0.37580
495;1.92056;1.93168;0.01112;0.37580
496;1.92056;1.93168;0.01112;0.37580
497;1.92056;1.93168;0.01112;0.37580
498;1.92056;1.93168;0.01112;0.37580
499;1.92056;1.93168;0.01112;0.37580
500;1.92056;1.93168;0.01112;0.37580
